Composant&Quantité&Prix unitaire&Prix total
INA118P&1&9,57 \euro&9,57 \euro
PIC18F46K22&1&3,13 \euro&3,13 \euro
MC42004A6WK-BNMLW-V2&1&17,09 \euro&17,09 \euro
MCCBL1A16SILP-16DILS-150&1&4,34 \euro&4,34 \euro
LM7805CT&1&1,12 \euro&1,12 \euro
Cellule de pesée&1&2,26 \euro&2,26 \euro
Support DIP 40 broches&1&1,57 \euro&1,57 \euro
Support DIP 8 broches&1&0,63 \euro&0,63 \euro
Potentiomètre 3296W-1-103LF&1&1,98 \euro&1,98 \euro
Interrupteur&1&0,12 \euro&0,12 \euro
Résistance 4,7 kOhms&1&0,10 \euro&0,10 \euro
Résistance 10 kOhms&1&0,22 \euro&0,22 \euro
Résistance 56 Ohms&1&0,08 \euro&0,08 \euro
Condensateur 100nF&2&0,20 \euro&0,40 \euro
PCB&1&1,20 \euro&1,20 \euro
6 pins mâles&1&0,43 \euro&0,43 \euro
8x2 pins mâles&1&0,78 \euro&0,78 \euro
2 sockets femelle&1&0,63 \euro&0,63 \euro
TOTAL&&&45,65 \euro
